"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7491","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/139511","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","23-Jun-2025","ANKIT INFRATECH","Payment Success","611179"
"7492","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/139516","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","21-Jun-2025","ANKIT INFRATECH","Payment Success","615348"
"7493","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/139512","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","17-Oct-2025","ANKIT INFRATECH","Payment Success","584312"
"7494","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/139512","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","17-Oct-2025","ANKIT INFRATECH","Payment Success","416289"
"7495","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/141827","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","17-Oct-2025","ANKIT INFRATECH","Payment Success","334364"
"7496","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/139510","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","17-Oct-2025","ANKIT INFRATECH","Payment Success","809360"
"7497","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2026-2027/251886","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","14-Aug-2026","ANKIT INFRATECH","Payment Success","1199763"
"7498","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/139513","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","12-Aug-2026","ANKIT INFRATECH","Payment Success","364788"
"7499","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/161632","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","05-Aug-2025","ANKIT INFRATECH","Payment Success","253748"
"7500","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2024-2025/161632","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","08-Aug-2025","ANKIT INFRATECH","Payment Success","835742"
"7501","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93012","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7502","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93014","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7503","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93018","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7504","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93023","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7505","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93024","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7506","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93027","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7507","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93030","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7508","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93034","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7509","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93035","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7510","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93038","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7511","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93044","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7512","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93052","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7513","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93058","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7514","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93020","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7515","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93021","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7516","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93122","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7517","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93127","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7518","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93132","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7519","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93136","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7520","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93139","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7521","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93140","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7522","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93161","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7523","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93163","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7524","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93141","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","14-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7525","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93152","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","14-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7526","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93154","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","14-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7527","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93156","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","14-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7528","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93370","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7529","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93377","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7530","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93341","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7531","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93342","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7532","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93344","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7533","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93355","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7534","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93360","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7535","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93427","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7536","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93432","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7537","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93017","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7538","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93009","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7539","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93011","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7540","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93164","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7541","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93166","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7542","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93188","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7543","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93190","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7544","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93193","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7545","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93197","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7546","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93201","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7547","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93203","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7548","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93205","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7549","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93206","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7550","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93208","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7551","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93198","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7552","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93209","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7553","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93223","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7554","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93226","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7555","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93237","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7556","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93239","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7557","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93241","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7558","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93324","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7559","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93326","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7560","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93328","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7561","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93332","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7562","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93335","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7563","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93336","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7564","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93339","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7565","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93381","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7566","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93397","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7567","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93400","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7568","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93403","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7569","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93410","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7570","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93415","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7571","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93417","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7572","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93421","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7573","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93063","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7574","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93065","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7575","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93074","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7576","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93079","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
"7577","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP838/2025-2026/93082","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","18-Aug-2025","PROMPT EQUIPMENTS PRIVATE LTD","Payment Success","107771"
