"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"6558","Normal/Others","WS/MP141/2025-2026/192030-Construction of toilet blocks","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Construction of toilet at Fenton Ganj Girls Senior Secondary School jalandhar","Shri Harbhajan Singh (2022-28) (NaN-NaN)","Elected MP","Images","09-Mar-2026","476576"
"6559","Normal/Others","WS/MP078/2025-2026/201029-Street lights","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Installation of two Street Light at Village and Gram Panchayat Indora near the house of Sh Krishan Kumar Vicky Son of Sh Jaimal Singh Ward No 08 Development Block Indora Executing Agency BDO Indora","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","21-Jan-2026","33150"
"6560","Normal/Others","WS/MP202/2025-2026/205846-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","VIKASH KHAND MUNGRA BADSAHPUR GRAM JAMUNIPUR BABHANIYAWAN ME VIDHUTIKARAN KARYA","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","04-Feb-2026","235600"
"6561","Normal/Others","WS/MP202/2025-2026/205845-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","VIKASH KHAND MUNGRA BADSAHPUR GRAM MARWA DODAK ME GANGA BIND PRADHAN KE GHAR KE PAS  VIDHUTIKARAN KARYA","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","N/A","16-Jan-2026","299800"
"6562","Normal/Others","WS/MP202/2025-2026/205844-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","VIKSH KHAND MACHHLISHAHAR GRAM BHATHAR ME LAGE 25 KVA SE 63 KVA TRASFORMER KA KSHAMTA VRIDHI KA KRYA","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","16-Jan-2026","209500"
"6563","Normal/Others","WS/MP095/2025-2026/180097-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Kaithayil- Kuzhivaram Jumamajid Road, Konchira W, Vembayam G","Shri A. A. Rahim (2022-28) (NaN-NaN)","Elected MP","Images","04-Aug-2025","119037"
"6564","Normal/Others","WS/MP015/2025-2026/204274-Lighting of public spaces","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Supply and Installation of Solar Lights at Ananthur village santha pettai near Pandian kinaru in Ananthur Panchyat","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","N/A","04-Aug-2025","474950"
"6565","Normal/Others","WS/MP225/2025-2026/191561-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of CC Road from the residence of Mangal Das to the residence of Ramesh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","05-Dec-2025","1000000"
"6566","Normal/Others","WS/MP015/2025-2026/218566-Lighting of public spaces","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Supply and Installation of Solar Lights at Surankottai village near  Panchyat union primary school in Surankottai","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","04-Aug-2025","474950"
"6567","Normal/Others","WS/MP225/2025-2026/191558-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of CC Road from the Ram Say Shop to Kirtan Ghar in Village Panchayat Nardha Kasdol Baloda Bazar Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","18-Mar-2026","1000000"
"6568","Normal/Others","WS/MP015/2025-2026/204275-Lighting of public spaces","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Supply and Installation of Solar Lights at Puthur village School oorani in sirunagudi Panchyat","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","N/A","04-Aug-2025","474950"
"6569","Normal/Others","WS/MP225/2025-2026/191559-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of CC Road from the residence of Pustam to Fuleshwar residence in Village Khaira under Gram Panchayat Barpani Kasdol Baloda Bazar Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Feb-2026","1000000"
"6570","Normal/Others","WS/MP162/2025-2026/220795-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing CC Roads at SKS Extension sathyam Nagar ward no 17,  (188 mtr) in Kurinjipadi Town Panchayat","Shri S. Kalyanasundaram (2022-28) (NaN-NaN)","Elected MP","Images","13-Feb-2026","1500000"
"6571","Normal/Others","WS/MP18368/2025-2026/211538-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Supply and installation of led semi highmast light at 79 different places in district chandauli","Smt. Sadhna Singh (2024-30) (NaN-NaN)","Elected MP","Images","02-Dec-2025","18770400"
