Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
837,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18199/2025-2026/227891,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),LALJI VERMA,AMBEDKAR NAGAR,29-Jul-26,MS SHOBHNATH VERMA,Payment In-Progress,396749
838,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18199/2025-2026/205330,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),LALJI VERMA,AMBEDKAR NAGAR,29-Jul-26,MS SHOBHNATH VERMA,Payment In-Progress,453306
839,Assam,Construction of community centers and community halls,WS/MP18024/2026-2027/207563,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,27-Aug-26,RAJKUMAR DUARAH,Payment In-Progress,61420
840,West Bengal,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP18248/2024-2025/150129,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),11-Aug-26,SINDHUJA CONSTRUCTION,Payment In-Progress,987384
841,Uttarakhand,Street lights,WS/MP478/2026-2027/277539,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
842,Uttarakhand,Street lights,WS/MP478/2026-2027/243973,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
843,Uttarakhand,Street lights,WS/MP478/2026-2027/277477,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
844,Uttarakhand,Street lights,WS/MP478/2026-2027/277463,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
845,Uttarakhand,Street lights,WS/MP478/2026-2027/277460,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
846,Uttarakhand,Street lights,WS/MP478/2026-2027/277482,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
